,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,region_recod
73,0.62300003,HND,2,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791,LatAm
100,0.84600002,LTU,1,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880128,EastEurope
176,0.72299999,TUN,3,6912.2798,,13.800000190734858,1.39,,7.003858089447022,NorthAfrica
10,0.79000002,BHS,10,21672.029,0.3560000061988831,,9.4499998,,7.7423648834228525,Caribean
67,0.86500001,GRC,5,25295.27,10.927000045776369,4.099999904632568,7.530000200000001,43.400002,8.084266662597656,WesternDem
77,0.68599999,IDN,7,4780.0098,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438,SouthEastAsia
115,0.64499998,MAR,3,3999.5601,33.179000854492195,26.79999923706055,0.43000001,22.0,5.907778263092041,NorthAfrica
22,0.514,SLB,9,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334,Pacific
42,0.77499998,CRI,2,9485.71,,8.600000381469728,3.45,14.2,9.313112258911133,LatAm
47,0.48100001,BEN,4,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301,SubSaharian
102,0.51099998,MDG,4,822.62,,40.900001525878906,0.87,,3.041355133056641,SubSaharian
107,0.85299999,MLT,5,24094.641,0.42500001192092896,5.800000190734862,8.489999800000001,25.9,9.749919891357422,WesternDem
165,0.72299999,SUR,10,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259032,Caribean
167,0.90899998,SWE,5,39000.91,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063,WesternDem
93,0.58200002,LAO,7,2926.77,6.8979997634887695,54.0,5.3899999,34.0,1.8655455112457282,SouthEastAsia
9,0.89200002,AUT,5,38868.039,8.543999671936035,3.2999999523162837,12.32,,11.20547294616699,WesternDem
27,0.79799998,BLR,1,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565,EastEurope
169,0.55299997,SYR,3,4284.4199,,14.199999809265142,0.75999999,,3.254531145095825,NorthAfrica
2,0.74299997,DZA,3,5402.1699,39.11399841308594,17.20000076293945,0.52999997,,7.2071781158447275,NorthAfrica
173,0.71799999,TON,9,3962.0601,0.1040000021457672,,0.95999998,30.200001,5.1767706871032715,Pacific
119,,NRU,9,3130.47,0.0120000001043081,,,48.900002,3.32664942741394,Pacific
51,0.73900002,ECU,2,7259.52,15.774999618530268,19.10000038146973,3.8199998999999996,9.0,9.161087989807127,LatAm
161,0.50700003,ZWE,4,15997.67,12.45899963378906,55.70000076293945,6.5,,6.439471244812013,SubSaharian
5,0.78399998,ATG,10,12257.71,,,8.5600004,,5.5416831970214835,Caribean
56,0.86299998,EST,1,19768.039,1.315999984741211,2.9000000953674316,,33.200001,6.379294395446777,EastEurope
129,,MHL,9,2833.97,0.0540000014007092,,,,17.13572311401367,Pacific
52,0.67799997,SLV,2,332.26999,,13.600000381469732,2.52,,6.772402763366699,LatAm
69,0.63700002,GTM,2,4438.0,,26.5,1.88,,6.202301502227782,LatAm
101,0.89600003,LUX,5,61404.48,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872,WesternDem
31,0.64600003,CPV,4,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902,SubSaharian
187,0.39899999,BFA,4,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301,SubSaharian
89,,PRK,6,1727.8199,,,3.3499999,,,EastAsia
86,0.79299998,KAZ,1,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112306,EastEurope
139,0.42100000000000004,GNB,4,961.26001,,,3.5699998999999996,,5.593137264251709,SubSaharian
149,0.565,STP,4,2150.55,,,5.6900001,,8.353466033935549,SubSaharian
85,0.90200001,JPN,6,36123.77,127.12000274658199,2.200000047683716,7.5500002,22.799999,10.22874450683594,EastAsia
190,0.76899999,VEN,2,10513.96,,13.100000381469732,6.4699998,,5.256702423095703,LatAm
57,0.73400003,FJI,9,3848.72,0.8799999952316284,,,26.5,4.487498760223389,Pacific
166,0.54100001,SWZ,4,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957,SubSaharian
112,0.73299998,MNG,6,6277.8999,2.881999969482422,23.0,,26.799999,4.730341911315918,EastAsia
94,0.76300001,LBN,3,14711.97,4.382999897003174,8.0,1.3200001000000001,37.0,6.3937087059021,NorthAfrica
7,0.82599998,ARG,2,15102.61,41.73300170898438,12.699999809265142,7.929999799999999,25.299999,4.785916328430176,LatAm
14,0.79400003,BRB,10,22888.971,0.2790000140666962,16.89999961853027,8.819999699999999,7.0,7.4693031311035165,Caribean
28,0.55800003,KHM,7,1927.0601,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697,SouthEastAsia
147,0.72000003,VCT,10,7454.8799,0.1099999994039536,,7.0100002,,8.630239486694336,Caribean
84,0.72899997,JAM,10,4668.77,2.799000024795532,14.399999618530268,3.8299999,17.6,5.36152458190918,Caribean
46,0.875,CZE,1,23847.08,10.51200008392334,3.0999999046325684,12.68,33.400002,7.410911560058594,EastEurope
79,0.64899999,IRQ,3,4178.2598,32.57799911499023,,0.17,,5.538873195648193,NorthAfrica
142,0.79799998,ROU,1,14563.14,19.95299911499023,10.69999980926514,9.590000199999999,30.5,5.565009117126465,EastEurope
172,0.484,TGO,4,1036.28,6.928999900817871,,1.4400001,,5.2468767166137695,SubSaharian
61,0.69400001,GAB,4,14525.28,,42.400001525878906,8.8599997,,3.437471628189087,SubSaharian
82,0.88099998,ITA,5,32931.672,60.78300094604492,3.2000000476837163,7.559999900000001,24.200001,9.247918128967283,WesternDem
6,0.75800002,AZE,1,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367,EastEurope
98,0.71899998,LBY,3,4102.8398,6.265999794006348,13.199999809265142,0.0,,4.968935012817383,NorthAfrica
156,0.84200001,SVK,1,21776.34,5.415999889373778,6.300000190734862,10.6,28.799999,8.054047584533691,EastEurope
50,0.71799999,DOM,2,10376.63,,22.79999923706055,5.920000099999999,14.5,4.375777721405028,LatAm
36,0.73400003,CHN,6,9283.3799,,12.100000381469732,5.7800002,25.9,5.548227787017822,EastAsia
95,0.495,LSO,4,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432,SubSaharian
88,0.55000001,KEN,4,1494.63,40.70000076293945,48.70000076293945,1.84,13.6,5.7202911376953125,SubSaharian
83,0.46599999,CIV,4,1354.29,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451,SubSaharian
